dod_id,title,agency,media_type,year,season,suggested_filename,dvids_url
111719852,"DOW-UAP-PR064, AFSOC Kabul UAP Jul 2017",DoW/AARO,video,2017,2,DOD_111719852.mp4,https://www.dvidshub.net/video/1007741
111720692,"DOW-UAP-PR065, USCG C-144 Tyndall UAP 2 TIC TAC IR hot 24 April 2024",DoW/AARO,video,2024,2,DOD_111720692.mp4,https://www.dvidshub.net/video/1007777
111720693,"DOW-UAP-PR066, USCG C-144 Tyndall UAP 1 TIC TAC IR hot 24 April 2024",DoW/AARO,video,2024,2,DOD_111720693.mp4,https://www.dvidshub.net/video/1007778
111720696,"DOW-UAP-PR067, Multiple Spherical UAP USO near Sub. [CALLSIGN] 2022/03/25 in and out of water",DoW/AARO,video,2022,2,DOD_111720696.mp4,https://www.dvidshub.net/video/1007779
111720698,"DOW-UAP-PR068, IIR 1 666 S0151 23/Video Footage of Unidentified Aerial Phenomenon (UAP) captured by fifth generation aircraft on 20 Jan 23",DoW/AARO,video,2020,2,DOD_111720698.mp4,https://www.dvidshub.net/video/1007780
111720700,"DOW-UAP-PR069, F/A-18 FLIR UAP",DoW/AARO,video,2022,2,DOD_111720700.mp4,https://www.dvidshub.net/video/1007781
111720720,"DOW-UAP-PR070, IIR 1 655 S0301 23/Eglin AFB Aircrew Observed Unidentified Aerial Phenomena (UAP) on 13 Feb 23",DoW/AARO,video,2023,2,DOD_111720720.mp4,https://www.dvidshub.net/video/1007783
111720731,"DOW-UAP-PR071, USAF ANG F-16C (callsign [CALLSIGN]) Shoots Down UAP over Lake Huron with [Weapon System], 12 Feb 2023",DoW/AARO,video,2023,2,DOD_111720731.mp4,https://www.dvidshub.net/video/1007784
111720752,"DOW-UAP-PR072, ADMINISTRATIVE REVISION: IIR 1777 J0032 22 Kazakhstan - UAP in the vicinity of Karaganda International Airport",DoW/AARO,video,2022,2,DOD_111720752.mp4,https://www.dvidshub.net/video/1007788
111720765,"DOW-UAP-PR073, IIR 1 655 S0053 23/Several Unidentified Aerial Phenomenon Encountered In The Vicinity of Columbus OH",DoW/AARO,video,2022,2,DOD_111720765.mp4,https://www.dvidshub.net/video/1007790
111720775,"DOW-UAP-PR074, [CALLSIGN] (Mission)HD_20220613",DoW/AARO,video,2023,2,DOD_111720775.mp4,https://www.dvidshub.net/video/1007791
111720809,"DOW-UAP-PR075, 09JUN2021 [Platform] observed UAP in the ECS",DoW/AARO,video,2021,2,DOD_111720809.mp4,https://www.dvidshub.net/video/1007795
111720857,"DOW-UAP-PR076, 03 January 2021 [CALLSIGN] (Mission) observes UAP",DoW/AARO,video,2021,2,DOD_111720857.mp4,https://www.dvidshub.net/video/1007804
111720884,"DOW-UAP-PR077, 2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 1 of 2",DoW/AARO,video,2020,2,DOD_111720884.mp4,https://www.dvidshub.net/video/1007809
111720890,"DOW-UAP-PR078, 2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 2 of 2",DoW/AARO,video,2020,2,DOD_111720890.mp4,https://www.dvidshub.net/video/1007812
111720899,"DOW-UAP-PR079, 29 October 2020 [CALLSIGN] (Mission) observes 3 fast moving UAP's",DoW/AARO,video,2020,2,DOD_111720899.mp4,https://www.dvidshub.net/video/1007816
111720856,"DOW-UAP-PR080, 20 October 2020 [CALLSIGN] [CALLSIGN] Observes UAP",DoW/AARO,video,2020,2,DOD_111720856.mp4,https://www.dvidshub.net/video/1007803
